funcid,dim,milestone,error
21,10,1,3.025561e+02
21,10,2,2.576503e+02
21,10,3,2.576503e+02
21,10,5,2.159639e+02
21,10,10,2.130460e+02
21,10,20,1.603332e+02
21,10,30,1.603332e+02
21,10,40,1.603332e+02
21,10,50,1.603332e+02
21,10,60,1.603332e+02
21,10,70,1.476975e+02
21,10,80,1.453156e+02
21,10,90,1.453156e+02
21,10,100,1.453156e+02
